               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.025119,            0.023459,           0.0059639,             0.76523,             0.64086,             0.69897,             0.44668,            0.038295,            0.028868,            0.013833,           0.0088442,           0.0088442,           0.0088442
                  72,            0.025502,            0.023137,            0.006156,             0.77285,             0.63011,             0.69645,             0.44506,            0.038927,            0.029233,            0.015404,           0.0088124,           0.0088124,           0.0088124
                  73,            0.025311,            0.023541,            0.006394,             0.75286,             0.63788,             0.69123,             0.44652,            0.038594,            0.027973,            0.014069,           0.0087804,           0.0087804,           0.0087804
                  74,            0.025135,             0.02336,           0.0055953,             0.76056,             0.63045,             0.68628,             0.44376,            0.038675,            0.028665,            0.014596,           0.0087479,           0.0087479,           0.0087479
                  75,            0.024935,            0.022837,           0.0057901,             0.76761,             0.63873,             0.69305,             0.44382,            0.038929,            0.028937,            0.014706,           0.0087151,           0.0087151,           0.0087151
                  76,            0.024953,            0.023047,           0.0059063,             0.77111,             0.63777,             0.69181,             0.44502,            0.038427,            0.029756,            0.014502,            0.008682,            0.008682,            0.008682
                  77,            0.024684,            0.022776,            0.006002,             0.76884,             0.63416,             0.69307,             0.44231,            0.038476,            0.028729,            0.013701,           0.0086485,           0.0086485,           0.0086485
                  78,             0.02494,            0.023388,           0.0057723,              0.7643,              0.6425,             0.69398,             0.44425,            0.039271,            0.028792,            0.014533,           0.0086146,           0.0086146,           0.0086146
                  79,             0.02452,            0.022921,           0.0058796,             0.78449,             0.61895,             0.68742,             0.43769,            0.039128,            0.029519,            0.014763,           0.0085805,           0.0085805,           0.0085805
                  80,            0.024517,            0.022439,           0.0059708,             0.77371,             0.62949,             0.68445,              0.4383,            0.039089,            0.030562,            0.015227,           0.0085459,           0.0085459,           0.0085459
                  81,            0.024532,            0.022338,           0.0057524,             0.77274,             0.63562,             0.68733,             0.44564,            0.038683,            0.029982,            0.014557,           0.0085111,           0.0085111,           0.0085111
